taxon_key,taxon_name,common_name
600006,Coryphaena hippurus,Common dolphinfish
600077,Istiophorus platypterus,Indo-Pacific sailfish
600089,Acanthocybium solandri,Wahoo
600098,Euthynnus lineatus,Black skipjack
600107,Katsuwonus pelamis,Skipjack tuna
600114,Sarda orientalis,Striped bonito
600117,Scomber japonicus,Chub mackerel
600136,Scomberomorus sierra,Pacific sierra
600143,Thunnus albacares,Yellowfin tuna
600146,Thunnus obesus,Bigeye tuna
600217,Istiompax indica,Black marlin
600223,Kajikia audax,Striped marlin
600226,Xiphias gladius,Swordfish
600348,Epinephelus analogus,Spotted grouper
600382,Seriola lalandi,Yellowtail amberjack
600412,Elagatis bipinnulata,Rainbow runner
600752,Isurus oxyrinchus,Shortfin mako
600785,Mugil cephalus,Flathead grey mullet
600868,Carcharhinus falciformis,Silky shark
600874,Carcharhinus limbatus,Blacktip shark
600875,Carcharhinus longimanus,Oceanic whitetip shark
600886,Galeocerdo cuvier,Tiger shark
600898,Prionace glauca,Blue shark
600917,Sphyrna zygaena,Smooth hammerhead
601408,Lutjanus argentiventris,Yellow snapper
601732,Mola mola,Ocean sunfish
601906,Caranx melampygus,Bluefin trevally
601917,Caranx sexfasciatus,Bigeye trevally
602532,Ginglymostoma cirratum,Nurse shark
602534,Alopias superciliosus,Bigeye thresher
602535,Alopias vulpinus,Thresher
603334,Mycteroperca xenarcha,Broomtail grouper
603539,Caulolatilus princeps,Ocean whitefish
603915,Tetrapturus angustirostris,Shortbill spearfish
605548,Scarus ghobban,Bluebarred parrotfish
690206,Dosidicus gigas,Jumbo flying squid
690433,Litopenaeus occidentalis,Western white shrimp
690619,Panulirus gracilis,Blue spiny lobster
